order_id,date,customer_id,product,quantity,price,region,status,notes,created_at,updated_at,deleted
ORD-000001,2024-01-01,CUST-00001,Laptop,1,1299.99,North,completed,High value,2024-01-01T08:30:00Z,2024-01-01T08:45:00Z,false
ORD-000002,1/2/2024,CUST-00002,Mouse,5,49.99,South,completed,Standard,2024-01-02T09:15:00Z,2024-01-02T09:30:00Z,false
ORD-000003,2024-01-03,CUST-00003,Keyboard,3,79.99,East,pending,,2024-01-03T10:00:00Z,2024-01-03T10:30:00Z,false
ORD-000004,01/04/2024,CUST-00004,Monitor,2,799.99,West,completed,VIP,2024-01-04T07:45:00Z,2024-01-04T08:00:00Z,false
ORD-000001,2024-01-05,CUST-00005,Headphones,3,99.99,North,failed,Duplicate ID,2024-01-05T11:20:00Z,2024-01-05T11:45:00Z,true
ORD-000006,2024-01-06,CUST-00006,Laptop,,1199.99,South,completed,Missing qty,2024-01-06T12:30:00Z,2024-01-06T12:45:00Z,false
ORD-000007,2024-01-07,CUST-00007,Mouse,2,,East,completed,Missing price,2024-01-07T13:00:00Z,2024-01-07T13:15:00Z,false
ORD-000008,2024/01/08,CUST-00008,Keyboard,1,79.99,West,processing,Rush order,2024-01-08T14:30:00Z,2024-01-08T14:45:00Z,false
ORD-000009,Jan 9 2024,CUST-00009,Monitor,1,899.99,North,completed,,2024-01-09T15:00:00Z,2024-01-09T15:30:00Z,false
ORD-000010,2024-01-10,CUST-00010,Headphones,5,89.99,South,completed,Standard,2024-01-10T16:15:00Z,2024-01-10T16:45:00Z,false
ORD-000011,2024-01-11,CUST-00001,Laptop,1,1299.99,East,completed,,2024-01-11T08:00:00Z,2024-01-11T08:30:00Z,false
ORD-000012,2024-01-12,CUST-00002,Mouse,3,49.99,West,failed,Item unavailable,2024-01-12T09:45:00Z,2024-01-12T10:00:00Z,false
ORD-000013,2024-01-13,CUST-00003,Keyboard,2,79.99,North,pending,Awaiting stock,2024-01-13T10:30:00Z,2024-01-13T11:00:00Z,false
ORD-000014,13/01/2024,CUST-00004,Monitor,1,799.99,South,completed,Express delivery,2024-01-14T11:15:00Z,2024-01-14T11:45:00Z,false
ORD-000015,2024-01-15,CUST-00005,Headphones,2,99.99,East,completed,High value,2024-01-15T12:00:00Z,2024-01-15T12:30:00Z,false
